Movie_Title,Release_Date,Genre,,Director,Cast,Budget,BoxOfficeRevenue
"The Way, Way Back",7/5/2013,Comedy,,Nat Faxon,Steve Carell,"$5,000,000.00 ","$5,000,000.00 "
The Wedding Ringer,1/16/2015,Romance,,Jeremy Garelick,Kevin Hart,"$23,000,000.00 ","$79,800,000.00 "
The Witch,1/27/2016,Horror,,Robert Eggers,Anya Taylor-Joy,"$3,000,000.00 ","$40,400,000.00 "
The Wolverine,7/24/2013,Action,,James Mangold,Hugh Jackman,"$120,000,000.00 ","$414,800,000.00 "
The Woman in Black,2/3/2012,Horror,,James Watkins,Daniel Radcliffe,"$15,000,000.00 ","$128,500,000.00 "
The Woman in Black: Angel of Death,12/30/2014,Horror,,Tom Harper,Phoebe Fox,"$15,000,000.00 ","$48,900,000.00 "
The World's End,7/19/2013,Comedy,,Edgar Wright,Simon Pegg,"$20,000,000.00 ","$46,100,000.00 "
The Young Messiah,3/11/2016,Drama,,Cyrus Nowrasteh,Adam Greaves-Neal,"$18,500,000.00 ","$7,200,000.00 "
Think Like a Man,4/20/2012,Comedy,,Tim Story,Kevin Hart,"$12,000,000.00 ","$96,100,000.00 "
This Is the End,6/12/2013,Comedy,,Evan Goldberg,Seth Rogen,"$32,000,000.00 ","$126,000,000.00 "
This Is Where I Leave You,9/19/2014,Comedy,,Shawn Levy,Jason Bateman,"$19,800,000.00 ","$41,300,000.00 "
This Means War,2/17/2012,Action,,McG,Tom Hardy,"$65,000,000.00 ","$156,500,000.00 "
Top Five,9/6/2014,Comedy,,Chris Rock,Chris Rock,"$12,000,000.00 ","$26,100,000.00 "
Top Gun 3D,2/8/2013,Action,,Tony Scott,Tom Cruise,"$15,000,000.00 ","$356,800,000.00 "
Total Recall,8/3/2012,Action,,Len Wiseman,Colin Farrell,"$125,000,000.00 ","$198,500,000.00 "
Trance,3/27/2013,Crime,,Danny Boyle,James McAvoy,"$20,000,000.00 ","$24,300,000.00 "
Transcendence,4/10/2014,Sci-Fi,,Wally Pfister,Johnny Depp,"$100,000,000.00 ","$103,000,000.00 "
Triple 9,2/16/2016,Crime,,John Hillcoat,Kate Winslet,"$20,000,000.00 ","$23,400,000.00 "
Trouble with the Curve,9/21/2012,Drama,,Robert Lorenz,Clint Eastwood,"$60,000,000.00 ","$49,000,000.00 "
Trumbo,9/12/2015,Drama,,Jay Roach,Bryan Cranston,"$15,000,000.00 ","$8,200,000.00 "
Truth,9/12/2015,Drama,,James Vanderbilt,Robert Redford,"$9,600,000.00 ","$5,400,000.00 "
Turbo,7/17/2013,Comedy,,David Soren,Ryan Reynolds,"$127,000,000.00 ","$282,600,000.00 "
Tusk,9/6/2014,Horror,,Kevin Smith,Michael Parks,"$3,000,000.00 ","$1,900,000.00 "
Unbroken,11/17/2014,Drama,,Angelina Jolie,Jack O'Connell,"$65,000,000.00 ","$163,400,000.00 "
Unfinished Business,3/6/2015,Comedy,,Ken Scott,Vince Vaughn,"$35,000,000.00 ","$14,400,000.00 "
Unfriended,7/20/2014,Horror,,Levan Gabriadze,Shelley Hennig,"$1,000,000.00 ","$64,100,000.00 "
Vacation,7/29/2015,Adventure,,John Francis Daley,Ed Helms,"$31,000,000.00 ","$104,900,000.00 "
Vampire Academy,2/7/2014,Action,,Mark Waters,Zoey Deutch,"$30,000,000.00 ","$15,400,000.00 "
Veronica Mars,3/14/2014,Mystery,,Rob Thomas,Kristen Bell,"$6,000,000.00 ","$3,500,000.00 "
Victor Frankenstein,11/25/2015,Horror,,Paul McGuigan,Daniel Radcliffe,"$40,000,000.00 ","$34,200,000.00 "
Wanderlust,2/24/2012,Comedy,,David Wain,Paul Rudd,"$35,000,000.00 ","$24,200,000.00 "
War Dogs,8/19/2016,Crime,,Todd Phillips,Jonah Hill,"$40,000,000.00 ","$42,700,000.00 "
War Room,8/28/2015,Drama,,Alex Kendrick,Alex Kendrick,"$3,000,000.00 ","$73,700,000.00 "
Warcraft,6/10/2016,Action,,Duncan Jones,Ben Foster,"$160,000,000.00 ","$433,500,000.00 "
Warm Bodies,2/1/2013,Comedy,,Jonathan Levine,Nicholas Hoult,"$35,000,000.00 ","$117,000,000.00 "
What Maisie Knew,5/3/2013,Drama,,Scott McGehee,Julianne Moore,"$5,000,000.00 ","$2,700,000.00 "
What to Expect When You're Expecting,5/18/2012,Comedy,,Kirk Jones,Cameron Diaz,"$40,000,000.00 ","$84,400,000.00 "
When the Game Stands Tall,8/4/2014,Religious,,Thomas Carter,Jim Caviezel,"$15,000,000.00 ","$30,100,000.00 "
Whiplash,1/16/2014,Drama,,Damien Chazelle,J. K. Simmons,"$3,300,000.00 ","$49,000,000.00 "
Whiskey Tango Foxtrot,3/4/2016,Drama,,Glenn Ficarra,Tina Fey,"$35,000,000.00 ","$24,900,000.00 "
White House Down,6/28/2013,Action,,Roland Emmerich,Channing Tatum,"$150,000,000.00 ","$205,000,000.00 "
Wild,8/29/2014,Drama,,Jean-Marc Vallée,Reese Witherspoon,"$15,000,000.00 ","$52,500,000.00 "
Winter's Tale,2/13/2014,Drama,,Akiva Goldsman,Colin Farrell,"$60,000,000.00 ","$31,100,000.00 "
Wish I Was Here,1/18/2014,Drama,,Zach Braff,Zach Braff,"$6,000,000.00 ","$5,500,000.00 "
Woman in Gold,4/1/2015,Drama,,Simon Curtis,Helen Mirren,"$11,000,000.00 ","$61,600,000.00 "
Won't Back Down,9/28/2012,Drama,,Daniel Barnz,Viola Davis,"$19,000,000.00 ","$5,400,000.00 "
Woodlawn,10/16/2015,Drama,,The Erwin Brothers,Sean Astin,"$13,000,000.00 ","$14,400,000.00 "
World War Z,6/21/2013,Action,,Marc Forster,Brad Pitt,"$190,000,000.00 ","$540,000,000.00 "
Wrath of the Titans,3/30/2012,Action,,Jonathan Liebesman,Sam Worthington,"$150,000,000.00 ","$305,300,000.00 "
X-Men: Apocalypse,5/9/2016,Action,,Bryan Singer,James McAvoy,"$178,000,000.00 ","$544,600,000.00 "
X-Men: Days of Future Past,5/10/2014,Action,,Bryan Singer,Hugh Jackman,"$200,000,000.00 ","$747,900,000.00 "
You're Next,8/23/2013,Horror,,Adam Wingard,Sharni Vinson,"$1,000,000.00 ","$26,800,000.00 "
Zero Dark Thirty,12/19/2012,Drama,,Kathryn Bigelow,Jessica Chastain,"$40,000,000.00 ","$132,800,000.00 "
Zhong Kui: Snow Girl and the Dark Crystal,2/19/2015,Romance,,Peter Pau,Li Bingbing,"$30,000,000.00 ","$64,470,000.00 "
Zoolander 2,2/12/2016,Comedy,,Ben Stiller,Ben Stiller,"$50,000,000.00 ","$56,000,000.00 "
